,preload,stiffness,folder,subfolder_i,timestep,date,def_file,config,field_n,field,term,wave,samp,zern
38,200,nominal,SYS_03_(Preload_deformation)\,1,_Timestep_00002,_20231130\,SYS_03_(Preload_deformation)\01_Timestep_00002_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,9,3,4,-0.01519847
39,200,nominal,SYS_03_(Preload_deformation)\,1,_Timestep_00002,_20231130\,SYS_03_(Preload_deformation)\01_Timestep_00002_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,10,3,4,0.001852897
40,200,nominal,SYS_03_(Preload_deformation)\,1,_Timestep_00002,_20231130\,SYS_03_(Preload_deformation)\01_Timestep_00002_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,11,3,4,0.004520808
41,200,nominal,SYS_03_(Preload_deformation)\,1,_Timestep_00002,_20231130\,SYS_03_(Preload_deformation)\01_Timestep_00002_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,12,3,4,-0.012136574
42,200,nominal,SYS_03_(Preload_deformation)\,1,_Timestep_00002,_20231130\,SYS_03_(Preload_deformation)\01_Timestep_00002_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,13,3,4,0.011847666
43,200,nominal,SYS_03_(Preload_deformation)\,1,_Timestep_00002,_20231130\,SYS_03_(Preload_deformation)\01_Timestep_00002_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,14,3,4,-0.002328304
44,200,nominal,SYS_03_(Preload_deformation)\,1,_Timestep_00002,_20231130\,SYS_03_(Preload_deformation)\01_Timestep_00002_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,15,3,4,6.24E-05
45,300,nominal,SYS_03_(Preload_deformation)\,2,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,1,3,4,-0.24215471
46,300,nominal,SYS_03_(Preload_deformation)\,2,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,2,3,4,0.001296537
47,300,nominal,SYS_03_(Preload_deformation)\,2,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,3,3,4,-0.002128425
48,300,nominal,SYS_03_(Preload_deformation)\,2,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,4,3,4,-0.04721186
49,300,nominal,SYS_03_(Preload_deformation)\,2,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,5,3,4,-0.114311645
50,300,nominal,SYS_03_(Preload_deformation)\,2,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,6,3,4,0.111425297
51,300,nominal,SYS_03_(Preload_deformation)\,2,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,7,3,4,0.000778525
52,300,nominal,SYS_03_(Preload_deformation)\,2,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,8,3,4,0.000251333
53,300,nominal,SYS_03_(Preload_deformation)\,2,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,9,3,4,-0.020118568
54,300,nominal,SYS_03_(Preload_deformation)\,2,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,10,3,4,0.000421529
55,300,nominal,SYS_03_(Preload_deformation)\,2,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,11,3,4,0.008617274
