,temp,design,hub_material,folder,subfolder_i,timestep,date,def_file,config,field_n,field,wfe
27,33,sandwich hub,Ti,SYS_11_(Static_Structural)\,27,_Timestep_00007,_20240405\,SYS_11_(Static_Structural)\27_Timestep_00007_20240405\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.22974354314454926
28,38,sandwich hub,Ti,SYS_11_(Static_Structural)\,31,_Timestep_00008,_20240405\,SYS_11_(Static_Structural)\31_Timestep_00008_20240405\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.6293347804956418
29,38,sandwich hub,Ti,SYS_11_(Static_Structural)\,31,_Timestep_00008,_20240405\,SYS_11_(Static_Structural)\31_Timestep_00008_20240405\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.619600736259359
30,38,sandwich hub,Ti,SYS_11_(Static_Structural)\,31,_Timestep_00008,_20240405\,SYS_11_(Static_Structural)\31_Timestep_00008_20240405\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.25828662648461853
31,38,sandwich hub,Ti,SYS_11_(Static_Structural)\,31,_Timestep_00008,_20240405\,SYS_11_(Static_Structural)\31_Timestep_00008_20240405\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.2821479768881731
32,43,sandwich hub,Ti,SYS_11_(Static_Structural)\,35,_Timestep_00009,_20240405\,SYS_11_(Static_Structural)\35_Timestep_00009_20240405\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.7352800929816442
33,43,sandwich hub,Ti,SYS_11_(Static_Structural)\,35,_Timestep_00009,_20240405\,SYS_11_(Static_Structural)\35_Timestep_00009_20240405\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.7259467364334881
34,43,sandwich hub,Ti,SYS_11_(Static_Structural)\,35,_Timestep_00009,_20240405\,SYS_11_(Static_Structural)\35_Timestep_00009_20240405\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.2987494251300458
35,43,sandwich hub,Ti,SYS_11_(Static_Structural)\,35,_Timestep_00009,_20240405\,SYS_11_(Static_Structural)\35_Timestep_00009_20240405\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.322011155219807
36,3,sandwich hub,Invar,SYS_20_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_20_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.23801185563479046
37,3,sandwich hub,Invar,SYS_20_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_20_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.2657325800068705
38,3,sandwich hub,Invar,SYS_20_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_20_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.110411487416786
39,3,sandwich hub,Invar,SYS_20_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_20_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.09766904370906296
40,8,sandwich hub,Invar,SYS_20_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_20_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.17803120104604456
41,8,sandwich hub,Invar,SYS_20_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_20_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.20887691315643475
42,8,sandwich hub,Invar,SYS_20_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_20_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.09119121140207581
43,8,sandwich hub,Invar,SYS_20_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_20_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.08237707138177403
44,13,sandwich hub,Invar,SYS_20_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_20_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.11658822217165281
45,13,sandwich hub,Invar,SYS_20_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_20_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.1531869412992263
46,13,sandwich hub,Invar,SYS_20_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_20_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.07451089194618425
47,13,sandwich hub,Invar,SYS_20_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_20_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.071984061299955
48,18,sandwich hub,Invar,SYS_20_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_20_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.05454199051229088
