,preload,stiffness,folder,subfolder_i,timestep,date,def_file,config,field_n,field,term,wave,samp,zern
34,200,nominal,SYS_03_(Preload_deformation)\,1.0,_Timestep_00002,_20231130\,SYS_03_(Preload_deformation)\01_Timestep_00002_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,5.0,3.0,4.0,-0.10345681238266091
35,200,nominal,SYS_03_(Preload_deformation)\,1.0,_Timestep_00002,_20231130\,SYS_03_(Preload_deformation)\01_Timestep_00002_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,6.0,3.0,4.0,0.10619570521606117
36,200,nominal,SYS_03_(Preload_deformation)\,1.0,_Timestep_00002,_20231130\,SYS_03_(Preload_deformation)\01_Timestep_00002_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,7.0,3.0,4.0,0.0007826174277549983
37,200,nominal,SYS_03_(Preload_deformation)\,1.0,_Timestep_00002,_20231130\,SYS_03_(Preload_deformation)\01_Timestep_00002_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,8.0,3.0,4.0,0.00025292136478540596
38,200,nominal,SYS_03_(Preload_deformation)\,1.0,_Timestep_00002,_20231130\,SYS_03_(Preload_deformation)\01_Timestep_00002_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,9.0,3.0,4.0,-0.015198470194187826
39,200,nominal,SYS_03_(Preload_deformation)\,1.0,_Timestep_00002,_20231130\,SYS_03_(Preload_deformation)\01_Timestep_00002_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,10.0,3.0,4.0,0.0018528970093222338
40,200,nominal,SYS_03_(Preload_deformation)\,1.0,_Timestep_00002,_20231130\,SYS_03_(Preload_deformation)\01_Timestep_00002_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,11.0,3.0,4.0,0.004520807716145123
41,200,nominal,SYS_03_(Preload_deformation)\,1.0,_Timestep_00002,_20231130\,SYS_03_(Preload_deformation)\01_Timestep_00002_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,12.0,3.0,4.0,-0.012136574163823109
42,200,nominal,SYS_03_(Preload_deformation)\,1.0,_Timestep_00002,_20231130\,SYS_03_(Preload_deformation)\01_Timestep_00002_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,13.0,3.0,4.0,0.011847666368784522
43,200,nominal,SYS_03_(Preload_deformation)\,1.0,_Timestep_00002,_20231130\,SYS_03_(Preload_deformation)\01_Timestep_00002_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,14.0,3.0,4.0,-0.0023283042580745004
44,200,nominal,SYS_03_(Preload_deformation)\,1.0,_Timestep_00002,_20231130\,SYS_03_(Preload_deformation)\01_Timestep_00002_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,15.0,3.0,4.0,6.244543174507527e-05
45,300,nominal,SYS_03_(Preload_deformation)\,2.0,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,1.0,3.0,4.0,-0.24215470960955007
46,300,nominal,SYS_03_(Preload_deformation)\,2.0,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,2.0,3.0,4.0,0.0012965366162247785
47,300,nominal,SYS_03_(Preload_deformation)\,2.0,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,3.0,3.0,4.0,-0.002128425470983658
48,300,nominal,SYS_03_(Preload_deformation)\,2.0,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,4.0,3.0,4.0,-0.04721185971053784
49,300,nominal,SYS_03_(Preload_deformation)\,2.0,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,5.0,3.0,4.0,-0.11431164464849997
50,300,nominal,SYS_03_(Preload_deformation)\,2.0,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,6.0,3.0,4.0,0.11142529730832089
51,300,nominal,SYS_03_(Preload_deformation)\,2.0,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,7.0,3.0,4.0,0.0007785245614205191
52,300,nominal,SYS_03_(Preload_deformation)\,2.0,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,8.0,3.0,4.0,0.00025133273746370626
53,300,nominal,SYS_03_(Preload_deformation)\,2.0,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,9.0,3.0,4.0,-0.020118568025685606
54,300,nominal,SYS_03_(Preload_deformation)\,2.0,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,10.0,3.0,4.0,0.00042152900837838194
55,300,nominal,SYS_03_(Preload_deformation)\,2.0,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,11.0,3.0,4.0,0.008617273873784949
56,300,nominal,SYS_03_(Preload_deformation)\,2.0,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,12.0,3.0,4.0,-0.012718705036579552
57,300,nominal,SYS_03_(Preload_deformation)\,2.0,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,13.0,3.0,4.0,0.01305033845872418
58,300,nominal,SYS_03_(Preload_deformation)\,2.0,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,14.0,3.0,4.0,-0.002709533138623631
59,300,nominal,SYS_03_(Preload_deformation)\,2.0,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,15.0,3.0,4.0,0.0017180293065726174
60,400,nominal,SYS_03_(Preload_deformation)\,3.0,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,1.0,3.0,4.0,-0.2796884222929542
61,400,nominal,SYS_03_(Preload_deformation)\,3.0,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,2.0,3.0,4.0,0.0010336593818531766
62,400,nominal,SYS_03_(Preload_deformation)\,3.0,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,3.0,3.0,4.0,-0.0025336088501156664
63,400,nominal,SYS_03_(Preload_deformation)\,3.0,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,4.0,3.0,4.0,-0.060383339539556546
64,400,nominal,SYS_03_(Preload_deformation)\,3.0,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,5.0,3.0,4.0,-0.110584841371208
65,400,nominal,SYS_03_(Preload_deformation)\,3.0,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,6.0,3.0,4.0,0.13159758905002647
66,400,nominal,SYS_03_(Preload_deformation)\,3.0,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,7.0,3.0,4.0,0.000772520205179337
67,400,nominal,SYS_03_(Preload_deformation)\,3.0,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,8.0,3.0,4.0,0.00023036568690381815
68,400,nominal,SYS_03_(Preload_deformation)\,3.0,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,9.0,3.0,4.0,-0.021616987599485195
69,400,nominal,SYS_03_(Preload_deformation)\,3.0,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,10.0,3.0,4.0,0.0006357410422080906
70,400,nominal,SYS_03_(Preload_deformation)\,3.0,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,11.0,3.0,4.0,0.012641434353628194
71,400,nominal,SYS_03_(Preload_deformation)\,3.0,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,12.0,3.0,4.0,-0.014999955319320725
