,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern
preload,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000
term,,,,,,,,,,,,,,,,,,,,,
1.0,-0.0637338165779484,-0.1868225988949676,-0.1051461874751039,-0.0961256535594851,-0.0860392901716858,-0.0716001386012924,-0.0606916608151891,-0.0489929534178089,-0.0371919959194821,-0.0266658048404378,-0.016399814903848,-0.0081350239685402,-0.000694046656684,0.0055392911256723,0.0114524144158424,0.0173445772145856,0.0231108671981502,0.028640673888119,0.0341489720703173,0.0396585040722662,0.0450443881355208
2.0,-6.515139415569971e-13,-0.0001597481099547,0.0008583093623443,0.0016014881483755,0.000677074924411,0.0010058860022248,-0.0004969236132156,-0.0003905042163842,-0.0007010932357295,-0.0009439628127683,-0.0009020495730203,-0.0007310143707291,-0.000520431957346,-0.0003373340700184,-0.0002766054695207,-0.0001782324984375,5.064928772652761e-05,0.0003142658624897,0.0005235534393532,0.0008050280432945,0.0009725136312137
3.0,9.571376862249209e-14,-0.0007631979055589,-0.0010721104813406,-0.0013846839879087,-0.0017191787176748,-0.0020408244166167,-0.0018027727891002,-0.0013657800311871,-0.0010248552915503,-0.0008927212409983,-0.0006171692891239,-0.0002834157761674,-6.72429355829919e-05,0.0002229230564815,0.00035226821058,0.0004180136019865,0.0004442669609736,0.0005354303442566,0.0005381943132984,0.0006501539288931,0.000742305839092
4.0,0.0061408713349875,-0.0271536686282208,-0.0046862685284292,-0.0066576650371406,-0.0080059264192471,-0.007502521054065,-0.0077391060084157,-0.0074314152457276,-0.0065851582208518,-0.0057732136611793,-0.0046501995961685,-0.004008745690479,-0.0035338768329828,-0.0034270959594942,-0.0034092946991344,-0.0033799643231649,-0.0033759236135853,-0.0034475885339903,-0.0035182406094928,-0.0035847576792365,-0.003690932533155
5.0,4.082678986706401e-12,-0.0064644585222253,-0.0068124130132052,-0.0048883664741273,-0.0027395661859854,-0.0022719083289385,-0.0024573669734525,-0.0024715231518236,-0.0016363832726131,-0.0007142810116171,-0.0007720537799394,-0.0003539365882892,-0.0003824882721748,-0.0005077626913419,-0.0004619080172431,-0.0001808739346899,-8.613680192091911e-06,0.0002001444409761,0.0003361095349275,0.0003387475936815,0.0003725368229165
6.0,-1.2117234527309982e-12,0.0013544190149404,-0.0021565530634521,-0.0003233147605021,0.0021797598463456,0.0045685478686303,0.007909075412603,0.0074705887940258,0.0080633093673193,0.0072975175460881,0.006197931054344,0.0054831664125427,0.0047867971034453,0.0045858242450983,0.0046066348441336,0.0047439846301294,0.0048411551262459,0.0049079808211948,0.0050777091897861,0.0051529609567398,0.0052132933971736
7.0,1.955567898666933e-13,-7.158959739297936e-05,-0.0001148480853718,-0.0001556813277728,-0.0002039342945873,-0.0002529733400444,-0.0002435691623991,-0.0001981661235735,-0.0001730996741295,-0.0001708005187597,-0.0001406261685121,-9.623439087857572e-05,-6.805461652460383e-05,-2.6640748232209927e-05,-5.3381393467848726e-06,7.150768857874032e-06,1.3319131797823673e-05,3.1410250244045286e-05,3.656350942077766e-05,4.927098937578933e-05,6.362573209211531e-05
8.0,-4.5199171431541134e-13,7.633673216783588e-05,0.0001762802400595,0.0003146313948513,0.0001744219300725,0.0001816389502301,3.239487741840711e-05,1.9981139180864747e-05,-2.7022666908400923e-05,-6.638295005452542e-05,-6.22753442629293e-05,-4.605251315553376e-05,-1.869059312050156e-05,5.79115580241527e-06,1.9092719789619624e-05,3.876938882550608e-05,7.083265021495133e-05,0.0001074146481915,0.0001371481537463,0.0001733597145965,0.0001969578957225
