,temp,design,hub_material,folder,subfolder_i,timestep,date,def_file,config,field_n,field,M2_offset_init,M2_offset_final,wfe
23,28,sandwich hub,Ti,SYS_11_(Static_Structural)\,23,_Timestep_00006,_20240405\,SYS_11_(Static_Structural)\23_Timestep_00006_20240405\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.69375934896067,0.1578484395450713
24,33,sandwich hub,Ti,SYS_11_(Static_Structural)\,27,_Timestep_00007,_20240405\,SYS_11_(Static_Structural)\27_Timestep_00007_20240405\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.69695796018321,0.04346235833195175
25,33,sandwich hub,Ti,SYS_11_(Static_Structural)\,27,_Timestep_00007,_20240405\,SYS_11_(Static_Structural)\27_Timestep_00007_20240405\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.69695796018321,0.4805449439854317
26,33,sandwich hub,Ti,SYS_11_(Static_Structural)\,27,_Timestep_00007,_20240405\,SYS_11_(Static_Structural)\27_Timestep_00007_20240405\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.69695796018321,0.20532769057081368
27,33,sandwich hub,Ti,SYS_11_(Static_Structural)\,27,_Timestep_00007,_20240405\,SYS_11_(Static_Structural)\27_Timestep_00007_20240405\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.69695796018321,0.22974354313823858
28,38,sandwich hub,Ti,SYS_11_(Static_Structural)\,31,_Timestep_00008,_20240405\,SYS_11_(Static_Structural)\31_Timestep_00008_20240405\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.69924275608408,0.08522804229782416
29,38,sandwich hub,Ti,SYS_11_(Static_Structural)\,31,_Timestep_00008,_20240405\,SYS_11_(Static_Structural)\31_Timestep_00008_20240405\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.69924275608408,0.6196007363367606
30,38,sandwich hub,Ti,SYS_11_(Static_Structural)\,31,_Timestep_00008,_20240405\,SYS_11_(Static_Structural)\31_Timestep_00008_20240405\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.69924275608408,0.2582866264921717
31,38,sandwich hub,Ti,SYS_11_(Static_Structural)\,31,_Timestep_00008,_20240405\,SYS_11_(Static_Structural)\31_Timestep_00008_20240405\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.69924275608408,0.2821467776119789
32,43,sandwich hub,Ti,SYS_11_(Static_Structural)\,35,_Timestep_00009,_20240405\,SYS_11_(Static_Structural)\35_Timestep_00009_20240405\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.70096259278864,0.13762674496115673
