,temp,design,hub_material,folder,subfolder_i,timestep,date,def_file,config,field_n,field,M2_offset_init,M2_offset_final,wfe
104,43,central hub,Ti,SYS_16_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_16_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.69993882734948,0.009815695947219311
105,43,central hub,Ti,SYS_16_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_16_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.69993882734948,0.6658267426183578
106,43,central hub,Ti,SYS_16_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_16_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.69993882734948,0.27996117357188666
107,43,central hub,Ti,SYS_16_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_16_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.69993882734948,0.30516997245608296
108,3,central hub,Invar,SYS_24_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_24_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.68767391965129,0.01942928948375021
109,3,central hub,Invar,SYS_24_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_24_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.68767391965129,0.12777870538036581
110,3,central hub,Invar,SYS_24_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_24_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.68767391965129,0.06803626270234714
111,3,central hub,Invar,SYS_24_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_24_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.68767391965129,0.06940701472083764
112,8,central hub,Invar,SYS_24_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_24_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.68803495569543,0.018763499276208753
113,8,central hub,Invar,SYS_24_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_24_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.68803495569543,0.11068658677693968
114,8,central hub,Invar,SYS_24_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_24_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.68803495569543,0.06441181423370845
115,8,central hub,Invar,SYS_24_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_24_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.68803495569543,0.06903748877179632
116,13,central hub,Invar,SYS_24_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_24_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.68841401438877,0.01810427388914902
117,13,central hub,Invar,SYS_24_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_24_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.68841401438877,0.09516298381438364
118,13,central hub,Invar,SYS_24_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_24_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.68841401438877,0.06178759374723128
119,13,central hub,Invar,SYS_24_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_24_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.68841401438877,0.06989443756090857
120,18,central hub,Invar,SYS_24_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_24_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.68880540170993,0.017459911199946738
121,18,central hub,Invar,SYS_24_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_24_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.68880540170993,0.08318696665109152
122,18,central hub,Invar,SYS_24_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_24_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.68880540170993,0.06050808193045322
123,18,central hub,Invar,SYS_24_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_24_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.68880540170993,0.07206766622310315
124,23,central hub,Invar,SYS_24_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_24_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.68920642488416,0.01683065617305099
125,23,central hub,Invar,SYS_24_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_24_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.68920642488416,0.07719482724047791
126,23,central hub,Invar,SYS_24_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_24_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.68920642488416,0.060798470625739204
127,23,central hub,Invar,SYS_24_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_24_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.68920642488416,0.07553486922036859
128,28,central hub,Invar,SYS_24_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_24_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.68961709222376,0.01621678657942917
129,28,central hub,Invar,SYS_24_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_24_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.68961709222376,0.07914184509747713
130,28,central hub,Invar,SYS_24_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_24_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.68961709222376,0.06275174585413931
131,28,central hub,Invar,SYS_24_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_24_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.68961709222376,0.0802179786076901
132,33,central hub,Invar,SYS_24_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_24_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.69003750452138,0.015615073236584499
133,33,central hub,Invar,SYS_24_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_24_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.69003750452138,0.08902736287444026
134,33,central hub,Invar,SYS_24_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_24_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.69003750452138,0.06633206127952665
135,33,central hub,Invar,SYS_24_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_24_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.69003750452138,0.08600392531156267
136,38,central hub,Invar,SYS_24_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_24_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.69046765448759,0.015026863305318263
137,38,central hub,Invar,SYS_24_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_24_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.69046765448759,0.10507703059291913
138,38,central hub,Invar,SYS_24_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_24_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.69046765448759,0.07140057571113297
139,38,central hub,Invar,SYS_24_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_24_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.69046765448759,0.09276783328891486
140,43,central hub,Invar,SYS_24_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_24_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.69090686482241,0.014474668709394973
141,43,central hub,Invar,SYS_24_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_24_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.69090686482241,0.1253154218508929
142,43,central hub,Invar,SYS_24_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_24_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.69090686482241,0.07776229421227124
143,43,central hub,Invar,SYS_24_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_24_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.69090686482241,0.10038535035788687
