,Unnamed: 0,preload,stiffness,folder,subfolder_i,timestep,date,def_file,config,field_n,field,M2_offset_init,M2_offset_final,wfe,term,wave,samp,zern
22,1,100,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,0.0,_Timestep_00001,_20231210\,SYS_20_(Preload_deformation)\00_Timestep_00001_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.719899514248,0.0107442381371287,8.0,3.0,4.0,7.633673216783588e-05
23,1,100,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,0.0,_Timestep_00001,_20231210\,SYS_20_(Preload_deformation)\00_Timestep_00001_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.719899514248,0.0107442381371287,9.0,3.0,4.0,0.0002568293170718684
24,1,100,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,0.0,_Timestep_00001,_20231210\,SYS_20_(Preload_deformation)\00_Timestep_00001_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.719899514248,0.0107442381371287,10.0,3.0,4.0,0.00022726119402198015
25,1,100,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,0.0,_Timestep_00001,_20231210\,SYS_20_(Preload_deformation)\00_Timestep_00001_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.719899514248,0.0107442381371287,11.0,3.0,4.0,-0.0006119043691853245
26,1,100,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,0.0,_Timestep_00001,_20231210\,SYS_20_(Preload_deformation)\00_Timestep_00001_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.719899514248,0.0107442381371287,12.0,3.0,4.0,-0.00023040980543134333
27,1,100,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,0.0,_Timestep_00001,_20231210\,SYS_20_(Preload_deformation)\00_Timestep_00001_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.719899514248,0.0107442381371287,13.0,3.0,4.0,0.0009827782479292636
28,1,100,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,0.0,_Timestep_00001,_20231210\,SYS_20_(Preload_deformation)\00_Timestep_00001_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.719899514248,0.0107442381371287,14.0,3.0,4.0,8.109439131572411e-05
29,1,100,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,0.0,_Timestep_00001,_20231210\,SYS_20_(Preload_deformation)\00_Timestep_00001_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.719899514248,0.0107442381371287,15.0,3.0,4.0,0.0001557808882799192
30,2,200,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,1.0,_Timestep_00002,_20231210\,SYS_20_(Preload_deformation)\01_Timestep_00002_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.7202039045944,0.0112008676420644,1.0,3.0,4.0,-0.10514618747510394
31,2,200,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,1.0,_Timestep_00002,_20231210\,SYS_20_(Preload_deformation)\01_Timestep_00002_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.7202039045944,0.0112008676420644,2.0,3.0,4.0,0.0008583093623443231
32,2,200,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,1.0,_Timestep_00002,_20231210\,SYS_20_(Preload_deformation)\01_Timestep_00002_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.7202039045944,0.0112008676420644,3.0,3.0,4.0,-0.0010721104813406087
33,2,200,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,1.0,_Timestep_00002,_20231210\,SYS_20_(Preload_deformation)\01_Timestep_00002_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.7202039045944,0.0112008676420644,4.0,3.0,4.0,-0.0046862685284292565
34,2,200,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,1.0,_Timestep_00002,_20231210\,SYS_20_(Preload_deformation)\01_Timestep_00002_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.7202039045944,0.0112008676420644,5.0,3.0,4.0,-0.006812413013205207
35,2,200,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,1.0,_Timestep_00002,_20231210\,SYS_20_(Preload_deformation)\01_Timestep_00002_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.7202039045944,0.0112008676420644,6.0,3.0,4.0,-0.0021565530634521783
